data-prix;data-idannonce;data-nb_chambres;data-nb_pieces;data-surface;data-link
269422;0;1;2 ;58;https://www.seloger.com/annonces/achat/appartement/lagny-sur-marne-77/tassigny-leclerc-centre/156914807.htm
947000;0;1;2 ;62;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-6eme-75/saint-germain-des-pres/156948053/#?cmp=INTSL_ListToDetail
846000;0;1;2 ;51;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/paris-6eme-75/saint-germain-des-pres/156948059/#?cmp=INTSL_ListToDetail
983000;0;2;3 ;62;https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/buttes-chaumont/156955769.htm
1494000;0;2;4 ;121,55;https://www.bellesdemeures.com/annonces/vente/appartement-luxe/neuilly-sur-seine-92/la-plaine-des-sablons/156961909/#?cmp=INTSL_ListToDetail
300000;0;2;4 ;88,15;https://www.seloger.com/annonces/achat/appartement/villebon-sur-yvette-91/les-casseaux/157094839.htm
180000;0;2;3 ;68,22;https://www.seloger.com/annonces/achat/appartement/meaux-77/la-corniche-frot-saint-faron-clemenceau/157308991.htm
299900;0;3;4 ;106,84;https://www.seloger.com/annonces/achat/appartement/saint-remy-les-chevreuse-78/nord-yvette/157389465.htm
645000;0;3;4 ;77,03;https://www.seloger.com/annonces/achat/appartement/la-garenne-colombes-92/chateau-ridel/157408283.htm
155000;0;1;2 ;40;https://www.seloger.com/annonces/achat/appartement/la-courneuve-93/waldeck-rochet-quinet-cachin/157613703.htm
223000;0;2;3 ;60;https://www.seloger.com/annonces/achat/appartement/sannois-95/garonnes/157891063.htm
499000;0;2;3 ;66;https://www.seloger.com/annonces/achat/appartement/versailles-78/notre-dame/156016457.htm
635000;0;2;3 ;60;https://www.seloger.com/annonces/achat/appartement/paris-17eme-75/pereire-malesherbes/156975733.htm
